;data;hora;chuva;nivel;vazao diaria
192;2021-05-30;23:45:00;0.0;34.0;21.31684210526315
193;2021-05-30;23:30:00;0.0;34.0;21.31684210526315
194;2021-05-30;23:15:00;0.0;34.0;21.31684210526315
195;2021-05-30;23:00:00;0.0;34.0;21.31684210526315
196;2021-05-30;22:45:00;0.0;34.0;21.31684210526315
197;2021-05-30;22:30:00;0.0;34.0;21.31684210526315
198;2021-05-30;22:15:00;0.0;34.0;21.31684210526315
199;2021-05-30;22:00:00;0.0;34.0;21.31684210526315
200;2021-05-30;21:45:00;0.0;34.0;21.31684210526315
201;2021-05-30;21:30:00;0.0;34.0;21.31684210526315
202;2021-05-30;21:15:00;0.0;34.0;21.31684210526315
203;2021-05-30;21:00:00;0.0;34.0;21.31684210526315
204;2021-05-30;20:45:00;0.0;34.0;21.31684210526315
205;2021-05-30;20:30:00;0.0;34.0;21.31684210526315
206;2021-05-30;20:15:00;0.0;34.0;21.31684210526315
207;2021-05-30;20:00:00;0.0;34.0;21.31684210526315
208;2021-05-30;19:45:00;0.0;33.0;21.31684210526315
209;2021-05-30;19:30:00;0.0;33.0;21.31684210526315
210;2021-05-30;19:15:00;0.0;33.0;21.31684210526315
211;2021-05-30;19:00:00;0.0;33.0;21.31684210526315
212;2021-05-30;18:45:00;0.0;33.0;21.31684210526315
213;2021-05-30;18:30:00;0.0;33.0;21.31684210526315
214;2021-05-30;18:15:00;0.0;33.0;21.31684210526315
215;2021-05-30;18:00:00;0.0;33.0;21.31684210526315
216;2021-05-30;17:45:00;0.0;33.0;21.31684210526315
217;2021-05-30;17:30:00;0.0;33.0;21.31684210526315
218;2021-05-30;17:15:00;0.0;33.0;21.31684210526315
219;2021-05-30;17:00:00;0.0;33.0;21.31684210526315
220;2021-05-30;16:45:00;0.0;33.0;21.31684210526315
221;2021-05-30;16:30:00;0.0;33.0;21.31684210526315
222;2021-05-30;16:15:00;0.0;33.0;21.31684210526315
223;2021-05-30;16:00:00;0.0;33.0;21.31684210526315
224;2021-05-30;15:45:00;0.0;33.0;21.31684210526315
225;2021-05-30;15:30:00;0.0;33.0;21.31684210526315
226;2021-05-30;15:15:00;0.0;33.0;21.31684210526315
227;2021-05-30;15:00:00;0.0;33.0;21.31684210526315
228;2021-05-30;14:45:00;0.0;33.0;21.31684210526315
